# Granblue Fantasy: Relink ER 2.0.2 character-restricted sigils
# gem_hash<TAB>required_character_hash<TAB>gem_key<TAB>character_key
01BB436B	9B15CFB1	01BB436B	PL2700
0523A202	74DD4C79	0523A202	PL2900
0723F7EC	74DD4C79	0723F7EC	PL2900
1A359B67	9B15CFB1	1A359B67	PL2700
247A41F3	25D46F4B	247A41F3	PL2500
282DBFF0	1BB37EF0	282DBFF0	PL2400
4119F09B	74DD4C79	4119F09B	PL2900
4597A8A8	1BB37EF0	4597A8A8	PL2400
5CB2445F	646C3168	5CB2445F	PL2800
61A1A299	9B15CFB1	61A1A299	PL2700
64301E91	646C3168	64301E91	PL2800
6B920DA2	25D46F4B	6B920DA2	PL2500
7A06C7FB	646C3168	7A06C7FB	PL2800
9184F37B	25D46F4B	9184F37B	PL2500
94DC820E	74DD4C79	94DC820E	PL2900
96D6FE5E	25D46F4B	96D6FE5E	PL2500
99194505	9B15CFB1	99194505	PL2700
9978C657	74DD4C79	9978C657	PL2900
9EC6C56D	9A8AF295	9EC6C56D	PL2600
B1683ADD	1BB37EF0	B1683ADD	PL2400
B4ECE7BC	9A8AF295	B4ECE7BC	PL2600
BA28C81C	646C3168	BA28C81C	PL2800
BE4C13A6	1BB37EF0	BE4C13A6	PL2400
D4117FF3	9A8AF295	D4117FF3	PL2600
D594D945	9A8AF295	D594D945	PL2600
DB05A865	646C3168	DB05A865	PL2800
E3CD2935	9A8AF295	E3CD2935	PL2600
EC9FFE77	25D46F4B	EC9FFE77	PL2500
F21404B1	1BB37EF0	F21404B1	PL2400
F964A4CA	9B15CFB1	F964A4CA	PL2700
0A410BD8	2A26B1B2	GEEN_114_04	PL0000
936DFE00	2A26B1B2	GEEN_114_54	PL0000
9B2B4B8F	2A26B1B2	GEEN_114_64	PL0000
52A6E299	2A26B1B2	GEEN_114_90	PL0000
33F01810	2A26B1B2	GEEN_114_91	PL0000
380A3CA8	2A26B1B2	GEEN_114_92	PL0000
0713D928	2A26B1B2	GEEN_114_93	PL0000
BBF1566E	18E2F9F9	GEEN_115_04	PL0200
BDCC9A89	18E2F9F9	GEEN_115_54	PL0200
621A2A97	18E2F9F9	GEEN_115_64	PL0200
9ADA3E00	18E2F9F9	GEEN_115_90	PL0200
522004AB	18E2F9F9	GEEN_115_91	PL0200
30A3F2EA	18E2F9F9	GEEN_115_92	PL0200
AC175924	18E2F9F9	GEEN_115_93	PL0200
E7062C19	079DF0CC	GEEN_116_04	PL0300
6D18E7DC	079DF0CC	GEEN_116_54	PL0300
1791546F	079DF0CC	GEEN_116_64	PL0300
98A6D249	079DF0CC	GEEN_116_90	PL0300
9F08F697	079DF0CC	GEEN_116_91	PL0300
D48ABDDA	079DF0CC	GEEN_116_92	PL0300
BC53CE24	079DF0CC	GEEN_116_93	PL0300
3BDBE4B0	4D0A60C3	GEEN_117_04	PL0400
38DE81D2	4D0A60C3	GEEN_117_54	PL0400
A441FB51	4D0A60C3	GEEN_117_64	PL0400
E2B380E5	4D0A60C3	GEEN_117_90	PL0400
9D88DEA1	4D0A60C3	GEEN_117_91	PL0400
F6C0FCA5	4D0A60C3	GEEN_117_92	PL0400
43F26A91	4D0A60C3	GEEN_117_93	PL0400
FF580AF6	DD7A151E	GEEN_118_04	PL0500
7739FEBD	DD7A151E	GEEN_118_54	PL0500
7C7EC053	DD7A151E	GEEN_118_64	PL0500
1BBE919C	DD7A151E	GEEN_118_90	PL0500
64D63823	DD7A151E	GEEN_118_91	PL0500
05ACA892	DD7A151E	GEEN_118_92	PL0500
CAAE3F9C	DD7A151E	GEEN_118_93	PL0500
01643EF4	C8616284	GEEN_119_04	PL0600
72304799	C8616284	GEEN_119_54	PL0600
B1C1200B	C8616284	GEEN_119_64	PL0600
9BD1CC24	C8616284	GEEN_119_90	PL0600
01D1A6CE	C8616284	GEEN_119_91	PL0600
21E10EB7	C8616284	GEEN_119_92	PL0600
515E693C	C8616284	GEEN_119_93	PL0600
FD99311B	C3FFD418	GEEN_120_04	PL0700
212B81F5	C3FFD418	GEEN_120_54	PL0700
40738CDD	C3FFD418	GEEN_120_64	PL0700
B441275D	C3FFD418	GEEN_120_90	PL0700
E073EA65	C3FFD418	GEEN_120_91	PL0700
BF714A8A	C3FFD418	GEEN_120_92	PL0700
E496D882	C3FFD418	GEEN_120_93	PL0700
56881C69	22E437E5	GEEN_121_04	PL0800
7F7E82AB	22E437E5	GEEN_121_54	PL0800
E570A041	22E437E5	GEEN_121_64	PL0800
E19B1965	22E437E5	GEEN_121_90	PL0800
85D7B335	22E437E5	GEEN_121_91	PL0800
B5DA3E80	22E437E5	GEEN_121_92	PL0800
8A3819C0	22E437E5	GEEN_121_93	PL0800
D36CC890	2EBE91D5	GEEN_122_04	PL0900
39B62087	2EBE91D5	GEEN_122_54	PL0900
3D8D9109	2EBE91D5	GEEN_122_64	PL0900
673C5D8F	2EBE91D5	GEEN_122_90	PL0900
9D5BC5BF	2EBE91D5	GEEN_122_91	PL0900
FB9B6DD5	2EBE91D5	GEEN_122_92	PL0900
A490BADF	2EBE91D5	GEEN_122_93	PL0900
462782D5	BDEF7181	GEEN_123_04	PL1000
753ECF9D	BDEF7181	GEEN_123_54	PL1000
4D7C8632	BDEF7181	GEEN_123_64	PL1000
02472C43	BDEF7181	GEEN_123_90	PL1000
B5725272	BDEF7181	GEEN_123_91	PL1000
C06F4708	BDEF7181	GEEN_123_92	PL1000
4CDCE25B	BDEF7181	GEEN_123_93	PL1000
069046D9	627BCB0D	GEEN_124_04	PL1100
31F91FCF	627BCB0D	GEEN_124_54	PL1100
450B862C	627BCB0D	GEEN_124_64	PL1100
AB835493	627BCB0D	GEEN_124_90	PL1100
C0B5128E	627BCB0D	GEEN_124_91	PL1100
BCEDF060	627BCB0D	GEEN_124_92	PL1100
E21A4170	627BCB0D	GEEN_124_93	PL1100
1ABADC4D	FD3BE362	GEEN_125_04	PL1200
B2191F16	FD3BE362	GEEN_125_54	PL1200
34C77091	FD3BE362	GEEN_125_64	PL1200
AEEF8343	FD3BE362	GEEN_125_90	PL1200
A0F94F69	FD3BE362	GEEN_125_91	PL1200
7C8580CA	FD3BE362	GEEN_125_92	PL1200
4C28585A	FD3BE362	GEEN_125_93	PL1200
583CF40F	FC6CDF7B	GEEN_126_04	PL1300
645ACEE5	FC6CDF7B	GEEN_126_54	PL1300
D4488A1D	FC6CDF7B	GEEN_126_64	PL1300
119B24A8	FC6CDF7B	GEEN_126_90	PL1300
E7624711	FC6CDF7B	GEEN_126_91	PL1300
49651C89	FC6CDF7B	GEEN_126_92	PL1300
76D4716B	FC6CDF7B	GEEN_126_93	PL1300
5FAA08E3	E7053919	GEEN_127_04	PL1400
7653B159	E7053919	GEEN_127_54	PL1400
F719D195	E7053919	GEEN_127_64	PL1400
1A57AEF1	E7053919	GEEN_127_90	PL1400
B143DAE6	E7053919	GEEN_127_91	PL1400
A879208F	E7053919	GEEN_127_92	PL1400
CEF31894	E7053919	GEEN_127_93	PL1400
